ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti
Planina Zgornja Grintovica,Julijske Alpe,1250,371359,713,6,2

Turn (nad Bohinjsko Belo),Julijske Alpe,1249,1120,2222,5,4

Planina Zagreben,Julijske Alpe,1240,461,2386,2,1

Belska planina,Julijske Alpe,1237,1380,2180,3,3

Izvir Nadiže,Julijske Alpe,1232,1210,2212,7,1

Planina Leskovca,Julijske Alpe,1230,361308,750,7,1

Koča na Gozdu,Julijske Alpe,1226,460096,379,13,1

Bivak Hlek,Julijske Alpe,1225,307382,959,0,2

Spodnji Goreljek (Pokljuka),Julijske Alpe,1222,1330,2189,1,1

Italijanska vojaška kapela na Planici,Julijske Alpe,1220,260295,1140,2,2

Svinska planina,Julijske Alpe,1214,302564,975,5,1

Škrbina (Mežakla),Julijske Alpe,1210,333202,862,1,2

Planina Zaprikraj,Julijske Alpe,1208,384856,663,0,1

Lovčev bivak Pri Koucah,Julijske Alpe,1192,216531,1312,11,1

Police,Julijske Alpe,1184,1227,2207,2,1

Planina Bala,Julijske Alpe,1181,248008,1190,4,1

Planina Spodnja Grintovica,Julijske Alpe,1175,356528,768,6,2

Planina Ilovec,Julijske Alpe,1170,430,2400,4,1

Bivak na Črniku,Julijske Alpe,1160,253544,1168,5,1

Planina Pretovč,Julijske Alpe,1160,249931,1184,5,2

Koča na Uskovnici,Julijske Alpe,1154,552611,120,0,7

Zgornji Martuljkov slap,Julijske Alpe,1150,401013,599,9,2

Planina Blato,Julijske Alpe,1147,510580,220,5,1

Planina Medrja,Julijske Alpe,1133,212606,1329,7,1

Ruska kapelica,Julijske Alpe,1130,343857,818,10,1

Snežna jama na Mežakli,Julijske Alpe,1130,311657,940,4,1

Bedančev dom,Julijske Alpe,1116,6550,1995,2,1

Koča v Krnici,Julijske Alpe,1113,526554,178,4,3

Dom v Tamarju,Julijske Alpe,1108,542592,138,10,3

Hotunjski vrh,Julijske Alpe,1107,3240,2041,2,4

Planina Lom,Julijske Alpe,1090,265932,1118,3,1

Mihov dom na Vršiču,Julijske Alpe,1085,399171,604,7,1

Kobala,Julijske Alpe,1080,239558,1224,4,1

Malga Cuarnan,Julijske Alpe,1070,180,2548,2,1

Planina v Prodih,Julijske Alpe,1070,410,2411,4,1

Kosijev dom na Vogarju,Julijske Alpe,1054,489507,289,3,1

Koča na planini Stador,Julijske Alpe,1050,308564,954,5,0

Partizanska bolnišnica na Mežakli,Julijske Alpe,1050,185086,1436,0,1

Kup,Julijske Alpe,1046,264303,1125,7,1

Planina Obranica,Julijske Alpe,1035,262362,1132,8,3

Planinsko zavetišče Slatna,Julijske Alpe,1023,83,2612,1,1

Vodnikov razglednik,Julijske Alpe,1017,5620,2000,0,2

Aljažev dom v Vratih,Julijske Alpe,1015,519319,194,2,1

Jezerska planina / Alpe del Lago,Julijske Alpe,1006,350,2443,5,1

Planina za Jamo,Julijske Alpe,1005,228862,1262,3,1

Koča na planini Kuhinja,Julijske Alpe,1002,319245,914,3,1

Studor,Julijske Alpe,1002,5110,2007,2,1

Klatnica ,Julijske Alpe,1000,214185,1322,6,1

Planina Laška seč,Julijske Alpe,1000,234131,1243,7,1

Izvir Soče,Julijske Alpe,990,480591,315,2,1

Sveta Marjeta pod Stolom,Julijske Alpe,973,250446,1180,4,1

Ožarjeni kamen,Julijske Alpe,960,1370,2181,2,1

Planina Ravne,Julijske Alpe,956,1318,2194,2,1

Slap Suha,Julijske Alpe,950,289091,1028,4,1

Rudnica,Julijske Alpe,946,437892,463,2,3

Boršt,Julijske Alpe,931,2614,2063,8,3

Ingotova koča na planini Jesenje,Julijske Alpe,930,415877,544,5,2

Slap Zaročenca,Julijske Alpe,930,307065,960,0,0

Zgornje Mangartsko jezero,Julijske Alpe,929,368472,722,4,3

Spodnje Mangartsko jezero,Julijske Alpe,924,2652,2061,4,3

Planina Rčitno,Julijske Alpe,900,267991,1112,3,2

Kres nad Kočno,Julijske Alpe,890,1634,2146,9,1

Planina Blatce,Julijske Alpe,888,531,2356,2,1

Kovinarska koča v Krmi,Julijske Alpe,870,357927,760,5,3

Izvir Boke,Julijske Alpe,850,269851,1104,3,1

Slap Peričnik - zgornji slap,Julijske Alpe,850,385264,660,6,1

Spodnji Martuljkov slap,Julijske Alpe,850,317463,915,6,1

Vrše,Julijske Alpe,850,1947,2116,9,2

Zelenci,Julijske Alpe,845,487332,293,2,3

Grančišče,Julijske Alpe,844,281200,1061,1,4

Logje,Julijske Alpe,840,329026,875,2,1

Hom pri Bledu,Julijske Alpe,834,4926,2010,4,3

Jezero Jasna,Julijske Alpe,830,3540,2032,3,1

Pokljuška soteska (luknja),Julijske Alpe,830,305256,963,3,1

Poljanska baba,Julijske Alpe,830,223342,1284,9,1

Brezje / Montemaggiore,Julijske Alpe,819,144002,1596,2,1

Sv. Peter in Pavel (Perati),Julijske Alpe,812,170,2551,0,1

Humčič,Julijske Alpe,810,225026,1278,3,2

Žerjavec (Kavče),Julijske Alpe,805,1363,2182,9,2

Koča na Petrovem Brdu,Julijske Alpe,804,363384,742,3,1

Planina Črča,Julijske Alpe,800,195697,1394,7,1

Slap Peričnik - spodnji slap,Julijske Alpe,800,365418,735,6,3

Slap Savica,Julijske Alpe,794,393652,629,7,1

Počitniški dom v Možnici,Julijske Alpe,793,322698,896,2,1

Slap Mostnice,Julijske Alpe,773,2090,2103,5,1

Korita Mlinarice,Julijske Alpe,770,412704,559,2,1

Rio Bianco / Beli potok,Julijske Alpe,770,159678,1536,3,0

Sveti Lenart (Bača pri Podbrdu),Julijske Alpe,751,181546,1450,4,1

Koča pri Peričniku,Julijske Alpe,750,285829,1043,6,2

Slap Slatenik,Julijske Alpe,750,273729,1090,4,1

Okrepčevalnica Slap Voje,Julijske Alpe,745,1350,2185,3,1

Gogalova lipa,Julijske Alpe,725,1778,2133,2,2

Mladinski izobraževalni center v Bavšici,Julijske Alpe,725,219006,1300,5,1

Belopotoški slap,Julijske Alpe,720,371319,714,3,1

Jamnikov spodmol,Julijske Alpe,720,920,2255,9,1

Jezero Kreda,Julijske Alpe,715,6183,1998,3,2

Dolina Škratov,Julijske Alpe,700,340176,830,4,1

Slap Parabola,Julijske Alpe,700,396259,612,1,1

Izvir Tolminke,Julijske Alpe,695,408120,574,2,1

Mala Osojnica,Julijske Alpe,691,469978,351,3,2

Koča na Vojah,Julijske Alpe,690,400396,601,3,1

Gorejca,Julijske Alpe,680,322189,899,2,1

Slap Boka,Julijske Alpe,680,498147,255,3,2

Jezero Kreda v dolini Radovne,Julijske Alpe,674,200,2536,1,1

Izvir Bele,Julijske Alpe,665,224629,1279,4,1

Izvir Lipnika,Julijske Alpe,660,220,2530,2,1

Spominsko obeležje Aleš Kunaver,Julijske Alpe,660,2106,2099,10,1

Jezerce v dolini Radovne,Julijske Alpe,657,260,2488,3,1

Koča pri Savici,Julijske Alpe,653,3980,2023,6,3

Peč (razgledišče),Julijske Alpe,650,4590,2013,2,1

Straža ,Julijske Alpe,646,340946,828,3,1

Marija Snežna v Breginjskem kotu,Julijske Alpe,645,172786,1484,3,1

Sveta Katarina na Homu,Julijske Alpe,634,3691,2026,2,2

Poglejska cerkev,Julijske Alpe,630,242750,1207,0,1

Dobra gora,Julijske Alpe,620,292662,1016,3,1

Izvir Bistrice,Julijske Alpe,610,293128,1014,0,1

Blejski grad,Julijske Alpe,599,5576,2001,2,1

Ribenska gora,Julijske Alpe,588,179633,1458,0,1

Ajdovski gradec,Julijske Alpe,580,3080,2048,0,2

Korita Možnice (Nemčlje),Julijske Alpe,580,314194,929,1,1

Javorca,Julijske Alpe,571,471697,344,4,1

Iglica,Julijske Alpe,550,256568,1156,4,1

Jama Srnica,Julijske Alpe,550,252311,1173,3,1

Sveti Janez Krstnik (Ribčev Laz),Julijske Alpe,532,1680,2143,1,1

Slap Šum v Blejskem Vintgarju,Julijske Alpe,520,5160,2006,6,1

Tonovcov grad pri Kobaridu,Julijske Alpe,500,403987,589,2,1

Žičnica čez Tolminko,Julijske Alpe,500,255169,1162,3,1

Gradišče (Bodešče),Julijske Alpe,499,218003,1306,3,2

Sveti Lenart (Bodešče),Julijske Alpe,485,192599,1404,3,2

Velika korita Soče,Julijske Alpe,480,401649,596,2,1

Slap Beri,Julijske Alpe,454,227947,1269,2,1

Izvir Glijuna,Julijske Alpe,450,291647,1020,3,1

Mala Boka,Julijske Alpe,440,213454,1325,3,1

Kozlov rob,Julijske Alpe,426,367048,726,1,2

Slap Sopota (Soupat),Julijske Alpe,400,339311,834,0,1

Slap Virje,Julijske Alpe,400,409392,569,3,1

Gregorčičev slap,Julijske Alpe,390,1040,2236,0,1

Korita Soče pri Kršovcu,Julijske Alpe,390,320308,911,0,1

Veliki slap Kozjak,Julijske Alpe,250,433661,477,2,1

Mali slap Kozjak,Julijske Alpe,230,294405,1011,2,1

Tolminska korita,Julijske Alpe,180,424031,516,1,0

Grintovec,Kamniško Savinjske Alpe,2558,820450,2,14,14

Jezerska Kočna,Kamniško Savinjske Alpe,2540,618770,50,8,14

Skuta,Kamniško Savinjske Alpe,2532,694659,13,17,9

Kokrska Kočna,Kamniško Savinjske Alpe,2520,536202,150,7,8

Na Križu (Kokrska Kočna),Kamniško Savinjske Alpe,2484,9830,1983,7,1

Dolgi hrbet,Kamniško Savinjske Alpe,2473,528509,173,17,6

Štruca,Kamniško Savinjske Alpe,2457,508574,225,17,7

Kranjska Rinka,Kamniško Savinjske Alpe,2453,531204,165,17,7

Koroška Rinka (Križ),Kamniško Savinjske Alpe,2433,563338,109,16,7

Planjava,Kamniško Savinjske Alpe,2392,628012,41,7,12

Štajerska Rinka,Kamniško Savinjske Alpe,2374,484047,304,16,5

Ojstrica,Kamniško Savinjske Alpe,2350,717524,9,10,17

Mala Rinka,Kamniško Savinjske Alpe,2289,469095,352,18,2

Brana,Kamniško Savinjske Alpe,2253,656650,27,7,4

Turska gora,Kamniško Savinjske Alpe,2251,594287,63,15,5

Lučka Brana (Baba),Kamniško Savinjske Alpe,2244,452577,409,8,1

Kalški greben,Kamniško Savinjske Alpe,2224,579176,83,3,13

Mrzla gora,Kamniško Savinjske Alpe,2203,584867,75,12,8

Storžič,Kamniško Savinjske Alpe,2132,781018,4,8,30

Najvišji rob (Zeleniške špice),Kamniško Savinjske Alpe,2127,493060,277,9,2

Velika (Koroška) Baba,Kamniško Savinjske Alpe,2127,579068,84,14,8

Velika Zelenica,Kamniško Savinjske Alpe,2114,531627,161,11,4

Storžek,Kamniško Savinjske Alpe,2110,493594,274,13,5

Veliki vrh (Veža),Kamniško Savinjske Alpe,2110,510048,222,12,4

Ledinski vrh,Kamniško Savinjske Alpe,2108,559539,113,14,5

Bivak pod Grintovcem,Kamniško Savinjske Alpe,2100,527200,177,11,3

Kogel,Kamniško Savinjske Alpe,2100,476568,329,14,1

Krofička,Kamniško Savinjske Alpe,2083,565398,105,7,5

Bivak pod Skuto,Kamniško Savinjske Alpe,2070,507153,231,16,1

Velika Raduha,Kamniško Savinjske Alpe,2062,694536,14,5,11

Kalška gora,Kamniško Savinjske Alpe,2047,547950,132,4,11

Mala Raduha,Kamniško Savinjske Alpe,2029,425774,509,7,1

Molička peč,Kamniško Savinjske Alpe,2029,494242,272,10,3

Lučki Dedec,Kamniško Savinjske Alpe,2023,528885,172,13,6

Mala Ojstrica,Kamniško Savinjske Alpe,2017,512960,214,14,2

Vrh Korena,Kamniško Savinjske Alpe,1999,534752,154,7,9

Kompotela,Kamniško Savinjske Alpe,1989,536352,149,7,3

Tolsti vrh (Veža),Kamniško Savinjske Alpe,1985,441904,450,15,4

Bivak pod Mrzlim vrhom,Kamniško Savinjske Alpe,1980,365437,734,14,4

Vršiči,Kamniško Savinjske Alpe,1980,328483,878,11,1

Košutna,Kamniško Savinjske Alpe,1974,493286,276,8,3

Veliki Zvoh,Kamniško Savinjske Alpe,1971,529507,170,10,5

Deska (Veža),Kamniško Savinjske Alpe,1970,408216,573,14,4

Dleskovec,Kamniško Savinjske Alpe,1965,431321,489,11,1

Vežica,Kamniško Savinjske Alpe,1965,308891,952,8,1

Matkova kopa,Kamniško Savinjske Alpe,1957,385713,657,2,1

Bivak v Kočni,Kamniško Savinjske Alpe,1952,341076,826,6,1

Lanež,Kamniško Savinjske Alpe,1925,406707,582,7,7

Jamarski bivak na Dleskovški planoti,Kamniško Savinjske Alpe,1910,3470,2035,13,3

Križevnik,Kamniško Savinjske Alpe,1909,453378,403,4,1

Rjavčki vrh (Planinšca),Kamniško Savinjske Alpe,1898,335046,852,9,2

Kamniška koča na Kamniškem sedlu,Kamniško Savinjske Alpe,1864,727958,6,7,4

Krvavec,Kamniško Savinjske Alpe,1853,555940,117,11,4

Mokrica,Kamniško Savinjske Alpe,1853,456283,391,6,4

Srednji vrh,Kamniško Savinjske Alpe,1853,503664,241,9,7

Vodotočno jezero (Veža),Kamniško Savinjske Alpe,1850,463868,367,12,4

Lastovec,Kamniško Savinjske Alpe,1841,307698,957,6,1

Planina Dolga trata,Kamniško Savinjske Alpe,1835,299788,988,6,1

Rzenik,Kamniško Savinjske Alpe,1833,457822,386,7,3

Cjanovca,Kamniško Savinjske Alpe,1820,472934,337,7,7

Mali Grintovec,Kamniško Savinjske Alpe,1813,504613,238,9,24

Jelovec,Kamniško Savinjske Alpe,1808,354029,779,7,2

Kocbekov dom na Korošici,Kamniško Savinjske Alpe,1808,592866,64,14,13

Konj,Kamniško Savinjske Alpe,1803,571485,90,8,4

Vratca,Kamniško Savinjske Alpe,1802,456418,390,9,5

Cojzova koča na Kokrskem sedlu,Kamniško Savinjske Alpe,1793,608150,53,6,4

Goli vrh,Kamniško Savinjske Alpe,1787,518066,200,1,3

Kapelica na Molički planini,Kamniško Savinjske Alpe,1780,496349,261,12,7

Planina Košutna,Kamniško Savinjske Alpe,1778,453916,400,10,3

Strelovec,Kamniško Savinjske Alpe,1763,507872,228,5,4

Bašeljski vrh,Kamniško Savinjske Alpe,1744,494797,269,8,15

Veliki vrh,Kamniško Savinjske Alpe,1742,464625,364,4,1

Licjanovec,Kamniško Savinjske Alpe,1733,2600,2065,10,1

Tolsti vrh,Kamniško Savinjske Alpe,1715,582516,79,4,18

Kranjska koča na Ledinah,Kamniško Savinjske Alpe,1700,577764,85,17,4

Planina Polšak,Kamniško Savinjske Alpe,1695,301652,980,5,1

Planina Dolga njiva (Krvavec),Kamniško Savinjske Alpe,1688,411754,561,8,4

Dom na Krvavcu,Kamniško Savinjske Alpe,1684,488401,292,8,4

Komen,Kamniško Savinjske Alpe,1684,483505,306,3,6

Planina Koren,Kamniško Savinjske Alpe,1675,432316,484,12,4

Gradišče (Velika planina),Kamniško Savinjske Alpe,1666,687291,15,8,12

Kržišče (Pokovše),Kamniško Savinjske Alpe,1658,1760,2136,10,2

Planina Rzenik,Kamniško Savinjske Alpe,1654,401570,597,5,2

Koritni vrh (Velika planina),Kamniško Savinjske Alpe,1648,425914,507,5,2

Veliki Travnik,Kamniško Savinjske Alpe,1637,413051,558,4,6

Šentanski vrh,Kamniško Savinjske Alpe,1635,414605,550,6,15

Dobrča,Kamniško Savinjske Alpe,1634,618953,49,6,19

Kozji vrh,Kamniško Savinjske Alpe,1628,407048,581,1,1

Krnes,Kamniško Savinjske Alpe,1613,368588,718,1,2

Gostišče Zeleni Rob,Kamniško Savinjske Alpe,1612,472060,341,7,1

Hotel Krvavec,Kamniško Savinjske Alpe,1600,4584,2014,8,4

Planina Dolga njiva,Kamniško Savinjske Alpe,1600,470782,346,9,4

Planina Javorje,Kamniško Savinjske Alpe,1594,245426,1200,6,2

Vrata,Kamniško Savinjske Alpe,1591,362788,744,4,1

Boskovec,Kamniško Savinjske Alpe,1587,447768,428,3,5

Kamniški Dedec,Kamniško Savinjske Alpe,1583,495183,267,5,2

Smrekovec,Kamniško Savinjske Alpe,1577,568405,97,1,9

Medvedjak,Kamniško Savinjske Alpe,1573,373485,706,4,1

Planina Vodole,Kamniško Savinjske Alpe,1570,282696,1055,10,1

Poljanski rob,Kamniško Savinjske Alpe,1569,264159,1126,8,3

Planina Arta,Kamniško Savinjske Alpe,1564,358203,759,4,1

Planina Podvežak,Kamniško Savinjske Alpe,1564,407549,577,6,2

Kapela Marije Snežne (Velika planina),Kamniško Savinjske Alpe,1560,506949,232,8,8

Veliki Rogatec (Veliki Rogac),Kamniško Savinjske Alpe,1557,502794,245,5,8

Koča na Travniku,Kamniško Savinjske Alpe,1548,463769,368,5,6

Češka koča na Spodnjih Ravneh,Kamniško Savinjske Alpe,1542,669101,23,12,5

Veliki vrh nad Matkovim kotom,Kamniško Savinjske Alpe,1539,5095,2008,2,1

Logarska peč,Kamniško Savinjske Alpe,1536,293124,1015,5,3

Dom na Kališču,Kamniško Savinjske Alpe,1534,573814,88,10,19

Domžalski dom na Mali planini,Kamniško Savinjske Alpe,1534,585706,71,8,7

Koča na Loki pod Raduho,Kamniško Savinjske Alpe,1534,486203,295,7,6

Mali Travnik,Kamniško Savinjske Alpe,1532,206929,1352,4,1

Koča na Treh plotih,Kamniško Savinjske Alpe,1530,359947,754,4,1

Črnuški dom na Mali planini,Kamniško Savinjske Alpe,1526,531220,164,7,7

Icmanikova planina,Kamniško Savinjske Alpe,1520,278050,1071,5,3

Jarški dom na Mali planini,Kamniško Savinjske Alpe,1520,477738,325,7,5

Knezova planina,Kamniško Savinjske Alpe,1520,253350,1169,5,1

Vivodnik,Kamniško Savinjske Alpe,1508,458535,384,2,12

Planina Konjščica (Velika planina),Kamniško Savinjske Alpe,1505,491060,284,7,2

Planina Mali Travnik,Kamniško Savinjske Alpe,1500,222987,1285,4,2

Planina Ravne,Kamniško Savinjske Alpe,1500,298515,995,3,1

Špic,Kamniško Savinjske Alpe,1499,264512,1124,2,1

Jenkova planina,Kamniško Savinjske Alpe,1495,384586,664,2,1

Dom na Gospincu,Kamniško Savinjske Alpe,1491,429393,497,6,8

Kriška planina,Kamniško Savinjske Alpe,1480,479778,317,9,5

Grebenc,Kamniško Savinjske Alpe,1479,255234,1161,5,3

Koča na Dobrči,Kamniško Savinjske Alpe,1478,561388,111,4,14

Koča na Kriški gori,Kamniško Savinjske Alpe,1471,645111,33,3,11

Javorca (Golte),Kamniško Savinjske Alpe,1465,328352,879,5,1

Koča na Grohatu,Kamniško Savinjske Alpe,1460,478954,321,6,2

Visoki vrh nad Jezerskim,Kamniško Savinjske Alpe,1459,353163,782,6,2

Dom na Menini planini,Kamniško Savinjske Alpe,1453,607696,54,2,13

Lešanska planina,Kamniško Savinjske Alpe,1450,422202,524,7,6

Planina Kališče,Kamniško Savinjske Alpe,1450,455630,393,10,8

Račka vrata,Kamniško Savinjske Alpe,1450,263217,1130,0,1

Kranjska reber,Kamniško Savinjske Alpe,1435,459397,382,1,6

Javorov vrh,Kamniško Savinjske Alpe,1434,474463,335,5,7

Turni (pri Kozjem vrhu),Kamniško Savinjske Alpe,1432,850,2273,2,1

Pri Pastirjih,Kamniško Savinjske Alpe,1430,361190,751,5,1

Goli vrh (Šavnice),Kamniško Savinjske Alpe,1426,310909,944,1,2

Lepenatka,Kamniško Savinjske Alpe,1425,514150,211,5,10

Čisovec,Kamniško Savinjske Alpe,1419,1880,2124,3,3

Hotel Golte,Kamniško Savinjske Alpe,1410,430925,492,5,2

Planina Jezerca,Kamniško Savinjske Alpe,1410,7470,1990,8,4

Velika Poljana,Kamniško Savinjske Alpe,1410,466060,359,5,11

Javornik nad Jezerskim,Kamniško Savinjske Alpe,1399,322209,898,3,1

Dom na Okrešlju,Kamniško Savinjske Alpe,1396,571050,91,11,2

Krničarjeva koča na planini Javornik,Kamniško Savinjske Alpe,1390,417056,541,7,4

Praprotnikova koča,Kamniško Savinjske Alpe,1380,337365,842,8,2

Dom na Smrekovcu,Kamniško Savinjske Alpe,1375,520293,191,1,11

Mozirska koča na Golteh,Kamniško Savinjske Alpe,1356,500422,251,5,4

Knezova planina (Planina Bela peč),Kamniško Savinjske Alpe,1350,166167,1510,2,2

Slap Čedca,Kamniško Savinjske Alpe,1350,461811,374,8,1

Kunšperski vrh (Brezovec),Kamniško Savinjske Alpe,1336,810,2288,4,2

Povšnarjeva planina,Kamniško Savinjske Alpe,1330,1010,2238,3,1

Zavetišče v Hudičevem borštu,Kamniško Savinjske Alpe,1328,511689,217,7,5

Izletniška kmetija Bukovc (Bukovnik),Kamniško Savinjske Alpe,1327,200,2537,1,2

Bezovec,Kamniško Savinjske Alpe,1326,171356,1490,3,1

Mala Poljana,Kamniško Savinjske Alpe,1325,437764,464,5,6

Planina Vodol,Kamniško Savinjske Alpe,1324,160309,1533,4,1

Ovča koča,Kamniško Savinjske Alpe,1323,1580,2152,3,1

Plesnikova planina,Kamniško Savinjske Alpe,1319,1970,2114,7,1

Kašna planina,Kamniško Savinjske Alpe,1317,427264,502,1,3

Planina Dol,Kamniško Savinjske Alpe,1308,392505,634,7,2

Lovska koča Črnevka,Kamniško Savinjske Alpe,1300,120954,1684,0,1

Zavetišče na Biba planini,Kamniško Savinjske Alpe,1300,392664,632,1,3

Murijeva planina,Kamniško Savinjske Alpe,1289,1600,2150,2,1

Bivak na Kalu,Kamniško Savinjske Alpe,1285,335385,850,5,7

Potoška gora,Kamniško Savinjske Alpe,1283,465396,360,9,2

Skubrov vrh,Kamniško Savinjske Alpe,1276,165210,1514,3,1

Dom na Kisovcu,Kamniško Savinjske Alpe,1275,490612,286,5,4

Kamniški vrh,Kamniško Savinjske Alpe,1259,570436,95,3,11

Planjava pri Kamniškem vrhu,Kamniško Savinjske Alpe,1243,241581,1214,3,4

Turni,Kamniško Savinjske Alpe,1240,184323,1438,3,1

Mali Rogatec (Mali Rogac),Kamniško Savinjske Alpe,1228,1260,2202,4,2

Partizanska bolnica Mrzle vode,Kamniško Savinjske Alpe,1226,233347,1246,5,1

Planina Marjanine njive,Kamniško Savinjske Alpe,1220,7332,1992,5,1

Koča na Klemenči jami,Kamniško Savinjske Alpe,1208,491828,280,4,2

Ojstri vrh (nad Prevalo),Kamniško Savinjske Alpe,1197,1340,2186,2,2

Kopa (Belska Kopa),Kamniško Savinjske Alpe,1180,251278,1176,6,1

Planina Travnik,Kamniško Savinjske Alpe,1180,254475,1164,2,5

Počka (Robnikova) planina,Kamniško Savinjske Alpe,1165,226737,1271,5,1

Prevala,Kamniško Savinjske Alpe,1163,371472,712,3,3

Škrbina (Slaparjeva gora),Kamniško Savinjske Alpe,1142,610,2335,3,1

Pleče,Kamniško Savinjske Alpe,1131,77,2614,5,4

Dom pod Storžičem,Kamniško Savinjske Alpe,1123,514064,212,6,3

Smokuški vrh,Kamniško Savinjske Alpe,1122,442285,448,3,6

Baba,Kamniško Savinjske Alpe,1119,383656,668,7,2

Breška planina,Kamniško Savinjske Alpe,1100,252174,1174,7,3

Mihčeva kopišča,Kamniško Savinjske Alpe,1100,1918,2119,10,1

Planina Osredek,Kamniško Savinjske Alpe,1100,406417,583,6,4

Mešenik,Kamniško Savinjske Alpe,1099,151730,1565,4,0

Ambrož pod Krvavcem,Kamniško Savinjske Alpe,1085,7480,1991,2,7

Tolsti vrh (Dobrovlje),Kamniško Savinjske Alpe,1077,309721,947,1,5

Planina Ravni,Kamniško Savinjske Alpe,1075,186291,1431,3,4

Bistriška planina,Kamniško Savinjske Alpe,1057,440180,455,5,4

Sveti Križ nad Belimi Vodami,Kamniško Savinjske Alpe,1054,3440,2037,0,5

Vaško,Kamniško Savinjske Alpe,1046,297120,1002,5,1

Kopa (Partizanski vrh),Kamniško Savinjske Alpe,1024,2240,2091,2,4

Prgozdnik,Kamniško Savinjske Alpe,1013,170,2554,3,2

Smolnik,Kamniško Savinjske Alpe,1002,207437,1351,1,1

Orlovo gnezdo (Slap Rinka),Kamniško Savinjske Alpe,1000,486036,297,6,1

Vrhe,Kamniško Savinjske Alpe,965,179420,1459,4,6

Planinska koča Iskra na Jakobu,Kamniško Savinjske Alpe,961,483499,307,7,8

Sveti Jošt nad Vranskim,Kamniško Savinjske Alpe,955,232863,1249,1,1

Sveta Mati Božja na Čreti,Kamniško Savinjske Alpe,944,174222,1478,3,6

