ime,gorovje,višina (m),število ogledov,priljubljenost (mesto),število planinskih točk v okolici,število poti
Sveti Ahac (Kališe),Kamniško Savinjske Alpe,941,208188,1344,0,0

Vovar,Kamniško Savinjske Alpe,940,255283,1160,1,1

Planinska koča pri Franciju,Kamniško Savinjske Alpe,930,333525,861,8,5

Sveti Lenart nad Gornjim Gradom,Kamniško Savinjske Alpe,929,316677,921,3,2

Planica (vzletišče Gozd),Kamniško Savinjske Alpe,926,770,2300,3,4

Matkov kot,Kamniško Savinjske Alpe,920,421906,526,2,1

Skutman,Kamniško Savinjske Alpe,911,1540,2153,3,5

Grmada (Dobrovlje),Kamniško Savinjske Alpe,898,204482,1362,2,3

Sveti Lovrenc (Bašelj),Kamniško Savinjske Alpe,892,383534,670,4,5

Zavetišče v Gozdu,Kamniško Savinjske Alpe,891,403912,590,4,6

Robanova planina,Kamniško Savinjske Alpe,890,357136,765,6,1

Lomek (Lom),Kamniško Savinjske Alpe,884,1490,2157,0,2

Sveti Primož nad Ljubnim,Kamniško Savinjske Alpe,883,324600,889,0,2

Gradišče (Pustinjak),Kamniško Savinjske Alpe,871,267366,1116,6,5

Dom na Čreti,Kamniško Savinjske Alpe,870,449740,421,3,8

Slap Orglice,Kamniško Savinjske Alpe,870,476343,330,8,1

Sankaška koča,Kamniško Savinjske Alpe,867,417671,536,3,4

Mali vrh nad Završnico,Kamniško Savinjske Alpe,863,2030,2108,7,1

Sveti Janez in Pavel (Dobrovlje),Kamniško Savinjske Alpe,862,160224,1534,3,3

Dom na Lovrencu (Bašelj),Kamniško Savinjske Alpe,860,437502,466,3,4

Bezovec (Dobrovlje),Kamniško Savinjske Alpe,857,155839,1550,1,4

Zapečnikova planina,Kamniško Savinjske Alpe,840,72,2620,4,2

Sveti Peter nad Begunjami,Kamniško Savinjske Alpe,839,407426,578,4,5

Dom Čemšenik,Kamniško Savinjske Alpe,835,410429,565,5,1

Sveti Primož in Sveti Peter,Kamniško Savinjske Alpe,826,525779,179,2,1

Korošaški slapovi,Kamniško Savinjske Alpe,800,402522,594,4,1

Sveti Miklavž na Gori,Kamniško Savinjske Alpe,757,339115,835,0,1

Tominčev slap,Kamniško Savinjske Alpe,750,345965,809,5,1

Štefanja gora,Kamniško Savinjske Alpe,748,479052,320,3,8

Dom na Dobrovljah,Kamniško Savinjske Alpe,745,196160,1391,1,2

Sveti Florjan nad Gornjim Gradom,Kamniško Savinjske Alpe,743,172042,1487,0,1

Apnišče,Kamniško Savinjske Alpe,740,2560,2068,4,5

Gora Oljka,Kamniško Savinjske Alpe,733,534678,156,1,9

Slap Palenk,Kamniško Savinjske Alpe,730,280854,1063,5,1

Sveti Lovrenc nad Zabreznico,Kamniško Savinjske Alpe,725,278375,1070,5,3

Jamna peč,Kamniško Savinjske Alpe,720,290,2474,6,3

Vrholanov vrh (Ravne pri Šoštanju),Kamniško Savinjske Alpe,710,530,2358,0,1

Dom planincev Farbanca,Kamniško Savinjske Alpe,702,213356,1326,4,3

Sveti Nikolaj (Možjanca),Kamniško Savinjske Alpe,689,1400,2175,5,4

Sveti Jurij nad Tržičem,Kamniško Savinjske Alpe,673,157234,1545,2,2

Šenturška Gora,Kamniško Savinjske Alpe,671,7893,1988,1,3

Grad Gutenberk (Hudi grad),Kamniško Savinjske Alpe,663,490,2376,2,2

Sv. Miklavž nad Mačami,Kamniško Savinjske Alpe,651,210317,1339,6,1

Novi grad (Pusti grad),Kamniško Savinjske Alpe,630,2296,2082,6,2

Grad Kamen,Kamniško Savinjske Alpe,620,270695,1100,2,0

Brezovec,Kamniško Savinjske Alpe,617,2006,2110,1,1

Dom v Kamniški Bistrici,Kamniško Savinjske Alpe,600,408372,570,4,1

Koželj,Kamniško Savinjske Alpe,590,2280,2086,0,2

Senčnica Josipine Turnograjske,Kamniško Savinjske Alpe,570,260799,1137,8,2

Planinski dom Šentjungert,Kamniško Savinjske Alpe,565,386735,654,0,2

Sevčnik,Kamniško Savinjske Alpe,562,150,2568,0,1

Kriva jelka,Kamniško Savinjske Alpe,528,170,2556,0,2

Mokrišče Blata,Kamniško Savinjske Alpe,505,530,2362,2,1

Sebenje,Kamniško Savinjske Alpe,500,400,2416,1,1

Bazilika Marije Pomagaj na Brezjah,Kamniško Savinjske Alpe,486,1150,2217,1,2

Sveta Ana (Tunjice),Kamniško Savinjske Alpe,475,264936,1121,0,1

V Boštkú,Kamniško Savinjske Alpe,466,52,2629,1,2

Vinski vrh (Vimperk),Kamniško Savinjske Alpe,448,270,2487,0,3

Grad Velenje,Kamniško Savinjske Alpe,442,460,2388,0,3

Slap Peračica,Kamniško Savinjske Alpe,430,4220,2018,1,5

Šobčev bajer,Kamniško Savinjske Alpe,426,326800,884,2,5

Turistična kmetija Trnovc,Kamniško Savinjske Alpe,412,140,2575,1,1

Grad Žovnek,Kamniško Savinjske Alpe,409,312272,937,2,2

Šoštanj,Kamniško Savinjske Alpe,358,900,2261,0,1

Planinski dom Milana Šinkovca,Kamniško Savinjske Alpe,345,2633,2062,0,1

Stol,Karavanke,2236,796209,3,9,20

Vrtača,Karavanke,2181,629286,39,10,12

Prešernova koča na Stolu,Karavanke,2174,520872,190,9,14

Kepa,Karavanke,2143,592360,65,4,9

Ojstrc / Hochobir,Karavanke,2139,540140,144,3,6

Košutnikov turn,Karavanke,2133,585190,73,7,8

Kordeževa glava (Peca),Karavanke,2125,659090,26,5,22

Bistriška špica/Feistritzer Spitze,Karavanke,2113,424929,512,5,9

Končnikov vrh,Karavanke,2109,431777,487,5,10

Vajnež,Karavanke,2104,537921,146,7,5

Veliko Kladivo,Karavanke,2094,552035,124,7,8

Veliki vrh (Košuta),Karavanke,2088,656176,28,10,9

Dovška Mala Kepa,Karavanke,2077,415852,546,4,1

Velika glava,Karavanke,2077,349643,795,4,1

Veška kopa/Wackendorfer Spitze,Karavanke,2074,280103,1066,4,4

Begunjščica,Karavanke,2060,730770,5,12,14

Tolsta Košuta - Vzhodni vrh,Karavanke,2057,437728,465,6,1

Malo Kladivo,Karavanke,2036,413525,555,7,3

Gubno,Karavanke,2035,448291,427,4,4

Palec,Karavanke,2026,502802,244,12,3

Tolsta Košuta - Zahodni vrh,Karavanke,2026,450980,416,6,1

Pungartska gora,Karavanke,2025,349586,796,6,1

Ovčji vrh (Kozjak) / Geissberg (Kosiak),Karavanke,2024,459038,383,5,8

Zelenjak,Karavanke,2024,468495,354,11,3

Kravji vrh / Kuhberg,Karavanke,2017,6607,1994,1,2

Mali vrh,Karavanke,2017,345567,810,8,1

Potoški Stol,Karavanke,2014,464120,365,8,5

Toplar,Karavanke,2000,476147,332,10,3

Begunjska Vrtača,Karavanke,1991,479379,318,9,4

Košutica,Karavanke,1968,543548,136,7,8

Kofce gora,Karavanke,1967,567033,103,8,6

Cjajnik / Lärchenturm,Karavanke,1965,479161,319,5,3

Svačica,Karavanke,1953,424498,513,11,9

Struška,Karavanke,1944,512785,215,3,8

Trupejevo poldne,Karavanke,1931,546649,133,4,8

Govca (Olševa),Karavanke,1929,583737,76,4,14

Bele peči (Lepi vrh),Karavanke,1926,4510,2015,4,2

Setiče/Freiberg,Karavanke,1922,344434,815,0,1

Srednja peč,Karavanke,1920,1840,2127,7,5

Žleb (Suho ruševje),Karavanke,1916,397579,609,13,1

Obel kamen (Olševa),Karavanke,1911,1490,2158,2,5

Dovška Baba,Karavanke,1891,576817,86,5,8

Škrbina,Karavanke,1869,368567,719,5,1

Murnovc,Karavanke,1866,212976,1327,6,1

Kamnitnik,Karavanke,1858,274088,1088,10,2

Grlovec / Ferlacher Horn,Karavanke,1840,350363,793,1,6

Kresišče,Karavanke,1839,416449,542,4,4

Golica,Karavanke,1835,686565,16,5,12

Kraguljše,Karavanke,1828,172692,1485,3,2

Visoki vrh,Karavanke,1828,377266,691,1,3

Maloško poldne / Mallestiger Mittagskogel,Karavanke,1823,312228,938,5,4

Mojstrovica,Karavanke,1816,378216,688,3,2

Lokovnikov Grintovec / Grintoutz,Karavanke,1809,338220,839,5,5

Ostra peč / Mallestiger Mittagskogel,Karavanke,1801,333574,860,5,4

Plešivec,Karavanke,1801,462724,370,7,3

Srednji vrh (nad Završnico),Karavanke,1796,426043,506,11,5

Rjavca / Rjautza,Karavanke,1789,242363,1211,8,2

Krvavka,Karavanke,1784,303385,972,6,1

Na Možeh,Karavanke,1784,335027,853,13,1

Hruški vrh,Karavanke,1776,452823,408,8,9

Pristovški Storžič / Kärntner Storschitz,Karavanke,1759,503208,243,0,4

Koprivnjak / Kleiner Frauenkogel,Karavanke,1754,297665,998,7,2

Klek,Karavanke,1753,477402,327,7,8

Bivak na Belščici,Karavanke,1750,367356,725,10,2

Zajčnik,Karavanke,1746,234034,1245,4,3

Zajmenove peči,Karavanke,1745,910,2257,4,1

Kamnica (Komnica) / Ferlacher Spitze,Karavanke,1742,520,2363,4,3

Mala Košuta,Karavanke,1740,381759,678,6,2

Vošca,Karavanke,1737,487328,294,5,6

Mala Peca,Karavanke,1731,352255,785,3,3

Tamarča,Karavanke,1728,191848,1410,4,1

Hajnžev Praprotnik / Zeller Prapotnik,Karavanke,1727,680,2314,5,5

Veliki Javornik (Ženiklovec),Karavanke,1716,425905,508,5,4

Vrh Ljubeljščice (Triangel),Karavanke,1704,493398,275,10,3

Hajnževo sedlo,Karavanke,1701,405943,584,8,4

Belska planina (Svečica),Karavanke,1700,463362,369,4,5

Uršlja gora (Plešivec),Karavanke,1699,646813,31,2,14

Planina Seča,Karavanke,1698,309500,949,7,3

Alpengasthof Siebenhütten,Karavanke,1693,240563,1219,3,2

Stegovnik,Karavanke,1692,520925,189,2,9

Mačenski vrh / Matschacher Gupf,Karavanke,1691,1070,2233,0,3

Mali Javornik,Karavanke,1685,316274,924,3,1

Spodnji Plot,Karavanke,1682,298618,994,10,3

Dom na Uršlji gori,Karavanke,1680,11293,1981,1,10

Grpišca,Karavanke,1676,230177,1257,4,1

Hrašenska planina,Karavanke,1670,220936,1294,9,2

Votlina Kralja Matjaža,Karavanke,1670,368549,720,3,3

Pečovnik (kota 1668),Karavanke,1668,238091,1230,6,2

Bela peč / Weiße Wand,Karavanke,1665,215174,1317,8,1

Dom na Peci,Karavanke,1665,491317,281,3,7

Celovška koča / Klagenfurter Hutte,Karavanke,1664,438361,460,7,5

Potočka zijalka,Karavanke,1660,481599,312,3,3

Kosmatica / Kosmatitza,Karavanke,1659,380,2432,6,3

Kamnati vrh,Karavanke,1658,268279,1109,3,2

Roblekov dom na Begunjščici,Karavanke,1657,646642,32,6,9

Virnikov Grintovec,Karavanke,1654,519441,193,2,6

Planina Dovška Rožca,Karavanke,1650,428549,499,5,5

Visoka Bavha,Karavanke,1650,3079,2049,5,1

Topica/Topitza,Karavanke,1649,248355,1187,0,3

Mala Golica,Karavanke,1646,245918,1199,7,2

Pečovnik,Karavanke,1640,170265,1495,6,2

Veliki vrh nad Komatevro,Karavanke,1634,176736,1469,5,1

Blekova planina,Karavanke,1629,286158,1040,3,3

Macna / Matzen,Karavanke,1627,151635,1567,1,4

Jerebikovec,Karavanke,1621,326604,885,3,1

Ruš,Karavanke,1614,193650,1401,6,4

Sveta peč / Helige Wand,Karavanke,1613,161658,1528,6,1

Čofatijev vrh,Karavanke,1606,880,2268,1,3

Žingarica / Singerberg,Karavanke,1589,236287,1237,1,3

Rožca,Karavanke,1587,417497,539,6,6

Bela peč,Karavanke,1583,448769,425,6,7

Koča na Golici,Karavanke,1582,518629,196,5,5

Planina Zgornja Dolga njiva,Karavanke,1580,361781,748,8,2

Planina Zgornja Konjščica,Karavanke,1578,201831,1370,5,2

Ojstra / Oistra,Karavanke,1577,1410,2170,0,1

Psinski vrh / Sinacher Gupf ,Karavanke,1577,217715,1308,0,4

Planina Zgornja Luža,Karavanke,1573,132521,1640,4,2

Vgrizeva planina / Ogrisalm,Karavanke,1569,203856,1363,8,4

Veška planina / Wackendorfer Alm,Karavanke,1568,134942,1631,1,1

Planina Korošica,Karavanke,1554,570717,93,7,6

Rekaršica,Karavanke,1554,190285,1416,3,2

Kapelška koča / Eisenkappler Hütte,Karavanke,1553,263748,1128,3,7

Petelinjek (nad Korenskim sedlom),Karavanke,1552,1830,2129,4,2

Stara gora / Altberg,Karavanke,1552,490,2375,1,2

Špičasti vrh / Spitzberg,Karavanke,1551,600,2338,2,1

Planina Javornik,Karavanke,1550,414122,552,7,4

Ptičji vrh,Karavanke,1550,358839,756,4,2

Snežnik (nad Koprivno),Karavanke,1543,820,2283,4,1

Dom na Zelenici,Karavanke,1536,580479,82,10,6

Sveta Ana (Macna) / St. Anna (Matzen),Karavanke,1536,145644,1589,1,3

Zavetišče na planini Šija,Karavanke,1528,455311,394,9,3

Koča Berta / Bertahütte,Karavanke,1527,360,2441,4,4

Šoparjev vrh,Karavanke,1524,450,2394,3,3

Mejnik,Karavanke,1517,160096,1535,3,3

Požgani rob,Karavanke,1513,153599,1560,8,1

Peč (Tromeja),Karavanke,1508,549597,128,6,11

Planica,Karavanke,1508,332534,863,3,3

Bukovec,Karavanke,1506,310991,943,3,1

Polna peč,Karavanke,1503,322721,895,6,2

"Lipševa vrata (Vrata, Felsentore)",Karavanke,1500,164462,1517,0,1

Žerjavov Praprotnik / Loibler Prapotnik,Karavanke,1500,640,2329,0,2

Kopa / Monte Coppa,Karavanke,1496,268903,1107,5,2

Dom na Kofcah,Karavanke,1488,697379,12,8,13

Jureževa planina,Karavanke,1488,222065,1289,4,1

Borovje,Karavanke,1476,403276,592,4,3

Veliki Rob / Großer Rain,Karavanke,1464,65,2625,3,4

Planina Ilovica,Karavanke,1462,178965,1461,9,2

Planina Spodnja Konjščica,Karavanke,1451,360021,753,4,3

Spominska plošča Jožeta Rozmana,Karavanke,1450,157465,1543,6,1

Borovski vrh (Žehtar) / Sechter,Karavanke,1449,110,2594,1,2

Koča Pr Zdravc,Karavanke,1448,271676,1095,6,4

Planina Pungrat,Karavanke,1447,328574,877,7,3

Kališje,Karavanke,1435,1080,2231,3,1

Tegoška planina,Karavanke,1430,285405,1045,5,4

Koča pri izviru Završnice,Karavanke,1425,510278,221,11,2

Lovska koča na Brvogih,Karavanke,1425,220077,1298,5,1

Dreiländereck Hütte,Karavanke,1423,354971,774,5,4

Plešivška kopa (Kozarnica),Karavanke,1414,118223,1695,0,1

Potočnikova planina,Karavanke,1410,1210,2211,6,1

Planina Rožca / Roschitzaalm,Karavanke,1407,880,2267,7,1

Planina Spodnja Dolga njiva,Karavanke,1400,439302,458,6,2

Planina Stamare,Karavanke,1400,341075,827,11,5

Robič,Karavanke,1384,49,2635,6,4

Jeseniška planina,Karavanke,1380,262359,1133,7,2

Hruška planina,Karavanke,1378,304410,966,9,2

Koča na Ljubelju,Karavanke,1370,504977,236,4,2

Planina Možine,Karavanke,1352,169228,1499,6,1

Veronjak / Hausberg,Karavanke,1348,41,2632,1,2

Hofovška planina / Hoffmansalpe,Karavanke,1335,120,2585,0,1

Sveti Lenart / St. Leonhard,Karavanke,1334,160,2562,2,1

Španov vrh,Karavanke,1334,419054,531,3,6

Planina Rep (Repija),Karavanke,1330,310,2457,4,2

Lovska koča nad Doslovško planino,Karavanke,1325,890,2265,6,2

Bivak brez meja / Bivacco Senza Confini,Karavanke,1319,2390,2074,5,3

Na pečeh pri Črnem Vrhu,Karavanke,1318,800,2292,2,1

Koča na planini Preval-a,Karavanke,1311,568544,96,4,4

Govševa planina,Karavanke,1300,590,2340,5,2

Pusti Rovt,Karavanke,1296,312694,936,4,2

Koča Vrtača,Karavanke,1288,401997,595,10,1

Roblekova planina,Karavanke,1284,323468,893,1,5

Koča pod Košuto / Koschutahaus,Karavanke,1280,216286,1314,4,3

Lovska koča Stanič,Karavanke,1280,286966,1035,6,1

Golarjeva peč,Karavanke,1276,177284,1467,2,1

Marija Snežna (Kavalar) / Madonna della Neve,Karavanke,1275,285771,1044,4,2

Močnikova planina,Karavanke,1275,155299,1553,4,1

Basališče (Paški Kozjak),Karavanke,1272,449131,423,1,3

Obirska planina,Karavanke,1272,230875,1254,2,2

Planina Kladje / Quadiaalm,Karavanke,1271,510,2366,1,3

Potoška planina,Karavanke,1270,423822,517,10,4

Vetrh vrh,Karavanke,1268,118801,1694,1,1

Markljev Rovt,Karavanke,1250,257756,1150,6,1

Planina Luža,Karavanke,1250,145639,1590,2,2

Velika Boncla,Karavanke,1241,1277,2200,10,1

Sveti Duh pod Olševo,Karavanke,1232,279289,1068,5,1

Izvir reke Meže,Karavanke,1230,460,2392,4,1

Božičev vrh / Boschitzberg,Karavanke,1228,228422,1265,0,1

Štrukljev vrh,Karavanke,1227,650,2323,2,1

Tolsti vrh (pri Poljški planini),Karavanke,1225,450,2397,5,1

Zabreška planina,Karavanke,1225,354893,775,12,2

Planinski dom na kmetiji Kumer,Karavanke,1220,1130,2219,4,1

Sveta Ana v Koprivni,Karavanke,1218,810,2285,3,2

Doslovška planina,Karavanke,1210,1260,2201,4,1

Rovt Vrse,Karavanke,1200,301941,978,3,3

Žirovniška planina,Karavanke,1200,369095,716,12,2

Jesenik,Karavanke,1199,380,2430,3,4

Hom (nad Prevaljami),Karavanke,1193,460,2389,1,2

Brdo (Plezališče pod Golico),Karavanke,1192,1122,2220,0,1

Ostrica,Karavanke,1182,1040,2235,5,1

Valvasorjev dom pod Stolom,Karavanke,1181,558289,116,9,4

Tomčeva koča na Poljški planini,Karavanke,1180,431655,488,4,6

Veliki vrh (nad Mežiško dolino),Karavanke,1165,550,2359,4,3

Smučarski dom Črni vrh,Karavanke,1156,220105,1297,3,4

Šumahov vrh,Karavanke,1155,510,2369,2,3

Pikov vrh,Karavanke,1149,670,2318,4,3

Alničje,Karavanke,1145,173380,1482,12,3

Dom na Tromeji,Karavanke,1145,470579,348,7,2

Hribarska (Huda) zijalka,Karavanke,1140,155641,1552,1,1

Planina Planinca,Karavanke,1136,375313,695,5,3

Mala Boncla (Bavha),Karavanke,1131,196726,1390,8,1

Žmitkov špic,Karavanke,1124,287914,1033,1,1

Železna (Kisla) voda,Karavanke,1115,257005,1152,3,1

Zavetišče na Kalu,Karavanke,1112,226010,1275,4,5

Špik (Paški Kozjak),Karavanke,1108,394991,621,5,1

Erjavčev rovt (Planina Mlinca),Karavanke,1105,2789,2056,5,2

Partizanska bolnica Krtina,Karavanke,1100,224140,1280,6,1

Jelenkamen,Karavanke,1096,395699,617,7,5

Stenica,Karavanke,1091,310907,945,3,2

Arihova peč / Arichwand,Karavanke,1090,290,2473,2,1

Planina Dolžanka,Karavanke,1090,217407,1310,4,1

Andrejev dom na Slemenu,Karavanke,1086,459797,380,1,4

Koča nad Arihovo pečjo /  Rossalmhütte,Karavanke,1080,230,2510,2,1

Pogorevc,Karavanke,1076,1000,2239,1,1

Smolnik,Karavanke,1075,399327,602,9,2

Sveti Vid pod Jernejevim vrhom,Karavanke,1075,151522,1568,1,1

Koča na Naravskih ledinah,Karavanke,1072,297345,1000,1,8

Sveti Jošt na Paškem Kozjaku,Karavanke,1063,630,2339,5,1

Sveti Jakob v Koprivni,Karavanke,1062,100,2600,0,1

Ajdna,Karavanke,1046,500795,248,7,7

Bivak Suška bajta,Karavanke,1034,640,2326,2,3

Planina Zali potok,Karavanke,1032,290,2472,2,1

Sveta Ana (Ljubelj),Karavanke,1032,2220,2093,5,2

Mirca,Karavanke,1025,1925,2117,5,2

Veliki Mošenik / Große Muschenig,Karavanke,1021,113528,1713,1,2

Stolpnik,Karavanke,1012,468061,357,1,10

Jezero pri Čežov,Karavanke,1010,34,2642,2,1

Plakopec (Brezejec),Karavanke,1005,400,2417,6,1

Izvir Javornika,Karavanke,1000,225721,1276,10,1

Špicasti  vrh (Kislica),Karavanke,994,385144,662,3,1

Visoko,Karavanke,991,410,2409,6,2

Sv. Mihael (Rute (Zavrh)) / St. Michael (Bärental),Karavanke,982,110,2591,0,1

Boč,Karavanke,978,597437,59,4,9

Dom Pristava v Javorniškem Rovtu,Karavanke,975,423669,518,6,2

Ramšakov vrh,Karavanke,970,303688,968,6,4

Veliki vrh nad Završnikom,Karavanke,968,181110,1452,3,5

Dom na Paškem Kozjaku,Karavanke,960,407829,575,5,2

Srnjak,Karavanke,955,275727,1082,2,1

Radojč,Karavanke,937,321763,902,4,2

Podgorska planina / Maria Elender Alm,Karavanke,930,109310,1731,1,1

Smodivnik,Karavanke,923,240,2502,0,1

Slapovi v Preski,Karavanke,910,1320,2192,3,1

Andrejev vrh,Karavanke,897,790,2293,2,8

Volinjak,Karavanke,886,1330,2188,2,6

Donačka gora,Karavanke,884,570730,94,2,4

Fričev vrh,Karavanke,881,192064,1407,3,2

Rokov vrh / Rochusberg,Karavanke,880,280,2476,0,2

Kamnek,Karavanke,873,322139,900,2,6

Stegovniški slap,Karavanke,872,142690,1602,1,1

Gank,Karavanke,850,540,2352,8,1

Malnež,Karavanke,846,142889,1601,7,1

Gora sv. Eme (Junska gora) / Hemmaberg,Karavanke,842,180,2546,0,2

Turška jama v Gozdašnici,Karavanke,835,203097,1365,10,1

Lovska koča Štepih,Karavanke,825,265511,1119,1,1

Plešivec,Karavanke,822,273474,1091,2,2

Časov vrh,Karavanke,821,115366,1707,3,1

Sveti Rupert (Završe),Karavanke,815,138420,1617,3,1

Sveti Vid (Završe),Karavanke,808,138004,1619,1,1

Vinska gora,Karavanke,806,223999,1281,2,2

Poštarski dom pod Plešivcem,Karavanke,805,391639,637,1,4

Slapovi Dobršnik,Karavanke,800,247436,1193,2,1

Temnjak,Karavanke,798,139382,1613,4,1

Črepič,Karavanke,798,186839,1428,2,2

Štalekarjev vrh,Karavanke,792,310,2458,3,1

Kalvarija nad Jesenicami,Karavanke,784,197435,1388,4,2

Skalni vrh (Vodemla),Karavanke,780,390,2424,0,2

Kozjek,Karavanke,766,116873,1701,0,3

Slap pod Gozdašnico,Karavanke,760,2302,2083,9,1

Slap pod Kurico,Karavanke,760,1837,2128,8,1

Kapelica sv. Barbare na Pejcah,Karavanke,750,135671,1628,1,1

Kušpergarjev turn (Kušpergarjevi turni),Karavanke,750,550,2350,3,1

Skala,Karavanke,750,335136,851,1,3

Soteska Čepa/Tscheppaschlucht,Karavanke,750,348965,801,1,1

Gradišče nad Sotesko (Soteska),Karavanke,724,1396,2176,5,3

RIS Dolina (Dovžanova soteska),Karavanke,720,1620,2147,3,3

Strana,Karavanke,711,370,2436,12,1

Čopov rovt,Karavanke,710,880,2269,10,1

Slapišče pod Kalvarijo,Karavanke,700,760,2301,4,1

Dom na Boču,Karavanke,698,439733,457,2,7

Grad Lindek,Karavanke,695,260508,1139,3,1

Javorniški slapovi,Karavanke,690,3084,2047,10,1

Dom v Dragi,Karavanke,689,303445,970,5,1

Leški cerkvi,Karavanke,674,640,2325,2,2

Sveta Marjeta na Boču,Karavanke,655,182531,1446,2,2

Izvir Sotle,Karavanke,640,305408,962,0,2

Podkanjski slap / Wildensteiner Wasserfall,Karavanke,640,730,2307,1,1

Jezero Završnica,Karavanke,630,470,2385,8,1

Partizanska bolnica na Formili/Boču,Karavanke,630,245040,1203,3,3

Formila na Boču,Karavanke,624,207982,1348,4,3

Rudijev dom na Donački gori,Karavanke,590,323750,891,2,1

Sveti Rok (Sele),Karavanke,582,250,2497,2,1

Gonžarjeva peč,Karavanke,575,394196,627,3,2

Lindeški slap,Karavanke,555,154310,1557,3,1

Mornova zijalka,Karavanke,550,267863,1113,0,1

Planinska koča Velikonočnica,Karavanke,550,3091,2045,2,3

Krajnikov grad,Karavanke,549,113464,1714,0,1

Grilova kapela na Boču,Karavanke,534,190173,1417,1,2

Sveti Pankracij (Grajski grič),Karavanke,530,100,2597,0,3

Grad Konjice,Karavanke,515,231017,1253,1,2

Sveti Donat,Karavanke,511,200469,1377,2,1

Sveti Mihael na Pečici,Karavanke,500,127654,1660,1,4

Sveta Barbara v Zagradu,Karavanke,435,130,2578,1,3

Sveti Miklavž (Sele),Karavanke,435,89,2608,1,1

Zbelovski grad,Karavanke,400,122632,1678,1,3

Studeniški grad,Karavanke,315,171436,1489,3,3

