točka,vrsta
Ablanca,vrh
Adam,vrh
Ajdna,vrh
Ajdovski gradec,vrh
Aljažev dom v Vratih,koča
Aljažev dom v Vratih,bivak
Aljažev dom v Vratih,cerkev
Alničje,vrh
Alpengasthof Siebenhütten,koča
Alpengasthof Siebenhütten,cerkev
Alpengasthof Siebenhütten,planina
Alpengasthof Siebenhütten,jezero
Ambrož pod Krvavcem,koča
Ambrož pod Krvavcem,cerkev
Ambrož pod Krvavcem,planina
Andrejev dom na Slemenu,koča
Andrejev vrh,vrh
Apnišče,vrh
Arihova peč / Arichwand,vrh
Baba,vrh
Basališče (Paški Kozjak),vrh
Batognica,vrh
Bavški Grintavec,vrh
Bazilika Marije Pomagaj na Brezjah,cerkev
Bašeljski vrh,vrh
Bedančev dom,koča
Begunjska Vrtača,vrh
Begunjski vrh,vrh
Begunjščica,vrh
Bela glava,vrh
Bela peč,vrh
Bela peč / Weiße Wand,vrh
Bela peč/Monte Bila pec,vrh
Bele peči (Lepi vrh),vrh
Belopotoški slap,slap
Belska planina,planina
Belska planina (Svečica),koča
Belska planina (Svečica),planina
Bezovec,vrh
Bezovec (Dobrovlje),vrh
Bistriška planina,sedlo
Bistriška planina,planina
Bistriška špica/Feistritzer Spitze,vrh
Bivak Bernardinis,bivak
Bivak Gorizia,bivak
Bivak Hlek,bivak
Bivak Marrusich,sedlo
Bivak Marrusich,bivak
Bivak Nogara,bivak
Bivak Stuparich,bivak
Bivak Suringar,bivak
Bivak Suška bajta,bivak
Bivak Tarvisio,sedlo
Bivak Tarvisio,bivak
Bivak Za Akom,bivak
Bivak brez meja / Bivacco Senza Confini,sedlo
Bivak brez meja / Bivacco Senza Confini,bivak
Bivak na Belščici,bivak
Bivak na Belščici,planina
Bivak na Jezerih,bivak
Bivak na Kalu,sedlo
Bivak na Kalu,koča
Bivak na Rušju,bivak
Bivak na Črniku,bivak
Bivak pod Grintovcem,bivak
Bivak pod Kotovim sedlom,bivak
Bivak pod Luknjo,bivak
Bivak pod Mrzlim vrhom,bivak
Bivak pod Muzcem,sedlo
Bivak pod Muzcem,bivak
Bivak pod Skuto,bivak
Bivak pod Špikom,koča
Bivak pod Špikom,bivak
Bivak v Kočni,bivak
Blejska koča na Lipanci,koča
Blejska koča na Lipanci,planina
Blejski grad,
Blekova planina,sedlo
Blekova planina,bivak
Blekova planina,planina
Bogatin,vrh
Borovje,vrh
Borovski vrh (Žehtar) / Sechter,vrh
Boršt,vrh
Boskovec,vrh
Bovški Gamsovec,vrh
Boč,
Božičev vrh / Boschitzberg,vrh
Brana,vrh
Brda,vrh
Brdo (Plezališče pod Golico),vrh
Brezje / Montemaggiore,
Brezovec,vrh
Breška planina,planina
Breški Jalovec / Punta di Montemaggiore,vrh
Briceljk,vrh
Bukovec,vrh
Celovška koča / Klagenfurter Hutte,koča
Celovška koča / Klagenfurter Hutte,planina
Cesar,vrh
Ciprnik,vrh
Cjajnik / Lärchenturm,vrh
Cjanovca,vrh
Cmir,vrh
Cojzova koča na Kokrskem sedlu,sedlo
Cojzova koča na Kokrskem sedlu,koča
Cojzova koča na Kokrskem sedlu,bivak
Debela peč,vrh
Debeli vrh,vrh
Debeli vrh nad Lipanco,vrh
Deska (Veža),vrh
Dleskovec,vrh
Dobra gora,vrh
Dobrča,vrh
Dolgi hrbet,vrh
Dolina Škratov,
Dolkova špica,vrh
Dom Petra Skalarja na Kaninu,koča
Dom Planika pod Triglavom,koča
Dom Pristava v Javorniškem Rovtu,koča
Dom Valentina Staniča pod Triglavom,koča
Dom Valentina Staniča pod Triglavom,bivak
Dom na Boču,koča
Dom na Boču,cerkev
Dom na Dobrovljah,koča
Dom na Gospincu,koča
Dom na Gospincu,planina
Dom na Kališču,koča
Dom na Kisovcu,koča
Dom na Kisovcu,planina
Dom na Kofcah,koča
Dom na Kofcah,cerkev
Dom na Kofcah,planina
Dom na Komni,koča
Dom na Krvavcu,koča
Dom na Krvavcu,planina
Dom na Lovrencu (Bašelj),koča
Dom na Matajure,koča
Dom na Menini planini,koča
Dom na Menini planini,cerkev
Dom na Menini planini,planina
Dom na Okrešlju,koča
Dom na Okrešlju,bivak
Dom na Okrešlju,planina
Dom na Paškem Kozjaku,koča
Dom na Peci,koča
Dom na Smrekovcu,koča
Dom na Tromeji,koča
Dom na Uršlji gori,koča
Dom na Uršlji gori,cerkev
Dom na Zelenici,koča
Dom na Čreti,koča
Dom na Čreti,cerkev
Dom planincev Farbanca,koča
Dom pod Storžičem,koča
Dom pri Krnskih jezerih,koča
Dom pri Krnskih jezerih,bivak
Dom v Dragi,koča
Dom v Kamniški Bistrici,koča
Dom v Kamniški Bistrici,cerkev
Dom v Kamniški Bistrici,jezero
Dom v Tamarju,koča
Dom v Tamarju,cerkev
Dom v Tamarju,planina
Dom Čemšenik,koča
Domžalski dom na Mali planini,koča
Domžalski dom na Mali planini,planina
Donačka gora,vrh
Doslovška planina,planina
Dovška Baba,vrh
Dovška Mala Kepa,vrh
Dovški križ,vrh
Dravh,vrh
Draški rob,vrh
Dreiländereck Hütte,sedlo
Dreiländereck Hütte,koča
Dreiländereck Hütte,planina
Drobeče Sleme,vrh
Dve špici/Due Pizzi,vrh
Erjavčev rovt (Planina Mlinca),planina
Erjavčeva koča na Vršiču,koča
Eva,vrh
Florjanka / Monte Florianca,vrh
Florjanka / Monte Florianca,jezero
Formila na Boču,
Frdamane police,vrh
Fričev vrh,vrh
Frčkova planina,planina
Gabrovec,vrh
Galetovec,vrh
Gank,vrh
Glava v Zaplanji,vrh
Glave,vrh
Gogalova lipa,
Golarjeva peč,vrh
Goli vrh,vrh
Goli vrh (Šavnice),vrh
Golica,vrh
Goličica,vrh
Gomiščkovo zavetišče na Krnu,koča
Gomiščkovo zavetišče na Krnu,bivak
Gonžarjeva peč,vrh
Gora Oljka,vrh
Gora Oljka,koča
Gora Oljka,cerkev
Gora sv. Eme (Junska gora) / Hemmaberg,vrh
Gora sv. Eme (Junska gora) / Hemmaberg,cerkev
Gorejca,slap
Gostišče Zeleni Rob,koča
Gostišče Zeleni Rob,planina
Govca (Olševa),vrh
Govševa planina,planina
Grad Gutenberk (Hudi grad),vrh
Grad Kamen,
Grad Konjice,vrh
Grad Lindek,vrh
Grad Velenje,vrh
Grad Žovnek,vrh
Gradišče (Bodešče),vrh
Gradišče (Pustinjak),vrh
Gradišče (Velika planina),vrh
Gradišče (Velika planina),planina
Gradišče nad Sotesko (Soteska),vrh
Gradovec,vrh
Grančišče,vrh
Grebenc,vrh
Gregorčičev slap,slap
Grilova kapela na Boču,cerkev
Grintovec,vrh
Grlovec / Ferlacher Horn,vrh
Grmada (Dobrovlje),vrh
Grpišca,vrh
Grušnica,vrh
Gubno,vrh
Gubno,vrh
Hajnžev Praprotnik / Zeller Prapotnik,vrh
Hajnževo sedlo,sedlo
Hofovška planina / Hoffmansalpe,planina
Hom (nad Prevaljami),vrh
Hom pri Bledu,vrh
Hotel Golte,koča
Hotel Golte,planina
Hotel Krvavec,koča
Hotel Krvavec,planina
Hotunjski vrh,vrh
Hrašenska planina,planina
Hribarska (Huda) zijalka,
Hruška planina,koča
Hruška planina,planina
Hruški vrh,vrh
Humčič,
Icmanikova planina,sedlo
Icmanikova planina,planina
Idrska planina,planina
Iglica,vrh
Iglica,slap
Ingotova koča na planini Jesenje,koča
Ingotova koča na planini Jesenje,cerkev
Ingotova koča na planini Jesenje,planina
Italijanska vojaška kapela na Planici,cerkev
Izletniška kmetija Bukovc (Bukovnik),koča
Izletniška kmetija Bukovc (Bukovnik),planina
Izvir Bele,
Izvir Bistrice,slap
Izvir Boke,
Izvir Glijuna,
Izvir Javornika,jezero
Izvir Lipnika,
Izvir Nadiže,slap
Izvir Sotle,
Izvir Soče,slap
Izvir Tolminke,planina
Izvir reke Meže,
Jalovec,vrh
Jalovnik,vrh
Jama Srnica,
Jamarski bivak na Dleskovški planoti,bivak
Jamna peč,
Jamnikov spodmol,
Jarški dom na Mali planini,koča
Jarški dom na Mali planini,planina
Javor (nad Tolminskimi Ravnami),vrh
Javorca,cerkev
Javorca,planina
Javorca (Golte),planina
Javornik nad Jezerskim,vrh
Javorniški slapovi,slap
Javorov vrh,vrh
Javorov vrh (Pokljuka),vrh
Javoršček,vrh
Jehlc (Špičasta kupa),vrh
Jelenkamen,vrh
Jelovec,vrh
Jenkova planina,sedlo
Jenkova planina,planina
Jerebica,vrh
Jerebikovec,vrh
Jerebikovec,bivak
Jerebikovec,vrh
Jesenik,vrh
Jeseniška planina,planina
Jezerce v dolini Radovne,jezero
Jezero Jasna,koča
Jezero Jasna,jezero
Jezero Kreda,jezero
Jezero Kreda v dolini Radovne,jezero
Jezero Završnica,jezero
Jezero pri Čežov,jezero
Jezero v Ledvicah,jezero
Jezero v Lužnici,jezero
Jezerska Kočna,vrh
Jezerska planina / Alpe del Lago,planina
Jezerski Stog,vrh
Jureževa planina,planina
Kal,vrh
Kališje,vrh
Kalvarija nad Jesenicami,vrh
Kalška gora,vrh
Kalški greben,vrh
Kamnati vrh,vrh
Kamnek,vrh
Kamnica (Komnica) / Ferlacher Spitze,vrh
Kamniti lovec / Cima del Cacciatore,vrh
Kamnitnik,vrh
Kamniška koča na Kamniškem sedlu,sedlo
Kamniška koča na Kamniškem sedlu,koča
Kamniška koča na Kamniškem sedlu,bivak
Kamniški Dedec,vrh
Kamniški vrh,vrh
Kamniški vrh,bivak
Kanjavec,vrh
Kanjavec (Zahodni vrh),vrh
Kapela Marije Snežne (Velika planina),vrh
Kapela Marije Snežne (Velika planina),cerkev
Kapela Marije Snežne (Velika planina),planina
Kapelica na Molički planini,sedlo
Kapelica na Molički planini,koča
Kapelica na Molički planini,cerkev
Kapelica na Molički planini,planina
Kapelica sv. Barbare na Pejcah,cerkev
Kapelška koča / Eisenkappler Hütte,koča
Kapelška koča / Eisenkappler Hütte,planina
Kašna planina,planina
Kepa,vrh
Klatnica ,
Klek,vrh
Klečica,vrh
Knezova planina,planina
Knezova planina (Planina Bela peč),sedlo
Knezova planina (Planina Bela peč),planina
Kobala,vrh
Kobilja glava,vrh
Kobla,vrh
Kocbekov dom na Korošici,koča
Kocbekov dom na Korošici,bivak
Kocbekov dom na Korošici,planina
Kofce gora,vrh
Kogel,vrh
Kokrska Kočna,vrh
Kol,vrh
Komen,vrh
Komen,cerkev
Kompotela,vrh
Konj,vrh
Konjc,vrh
Konjski vrh,vrh
Končnikov vrh,vrh
Kopa (Belska Kopa),vrh
Kopa (Partizanski vrh),vrh
Kopa / Monte Coppa,vrh
Kopica,vrh
Koprivnjak / Kleiner Frauenkogel,vrh
Kordeževa glava (Peca),vrh
Korita Mlinarice,slap
Korita Možnice (Nemčlje),slap
Korita Soče pri Kršovcu,
Koritni vrh (Velika planina),vrh
Korošaški slapovi,slap
Koroška Rinka (Križ),vrh
Kosijev dom na Vogarju,koča
Kosijev dom na Vogarju,planina
Kosmatica / Kosmatitza,vrh
Kota 1313,vrh
Kotovo sedlo,sedlo
Kovačičeva glava,vrh
Kovinarska koča v Krmi,koča
Kovinarska koča v Krmi,planina
Kozjek,vrh
Kozji vrh,vrh
Kozlov rob,vrh
Koča Berta / Bertahütte,koča
Koča Pr Zdravc,koča
Koča Vrtača,koča
Koča na Dobrči,koča
Koča na Doliču,sedlo
Koča na Doliču,koča
Koča na Golici,koča
Koča na Golici,planina
Koča na Gozdu,koča
Koča na Grohatu,koča
Koča na Grohatu,planina
Koča na Klemenči jami,koča
Koča na Klemenči jami,planina
Koča na Kriški gori,koča
Koča na Ljubelju,sedlo
Koča na Ljubelju,koča
Koča na Loki pod Raduho,koča
Koča na Loki pod Raduho,cerkev
Koča na Loki pod Raduho,planina
Koča na Naravskih ledinah,koča
Koča na Petrovem Brdu,sedlo
Koča na Petrovem Brdu,koča
Koča na Planini pri Jezeru,koča
Koča na Planini pri Jezeru,bivak
Koča na Planini pri Jezeru,planina
Koča na Planini pri Jezeru,jezero
Koča na Soriški planini,koča
Koča na Soriški planini,planina
Koča na Travniku,koča
Koča na Travniku,bivak
Koča na Travniku,planina
Koča na Treh plotih,sedlo
Koča na Treh plotih,koča
Koča na Treh plotih,jezero
Koča na Uskovnici,koča
Koča na Uskovnici,cerkev
Koča na Uskovnici,planina
Koča na Vojah,koča
Koča na planini Kuhinja,koča
Koča na planini Kuhinja,planina
Koča na planini Preval-a,koča
Koča na planini Preval-a,planina
Koča na planini Razor,koča
Koča na planini Razor,bivak
Koča na planini Razor,planina
Koča na planini Stador,koča
Koča na planini Stador,planina
Koča nad Arihovo pečjo /  Rossalmhütte,koča
Koča nad Arihovo pečjo /  Rossalmhütte,planina
Koča pod Bogatinom,koča
Koča pod Bogatinom,planina
Koča pod Košuto / Koschutahaus,koča
Koča pri Peričniku,koča
Koča pri Savici,koča
Koča pri Triglavskih jezerih,koča
Koča pri Triglavskih jezerih,bivak
Koča pri Triglavskih jezerih,jezero
Koča pri izviru Završnice,koča
Koča pri izviru Završnice,planina
Koča v Krnici,koča
Koštrunove špice,vrh
Košutica,vrh
Košutna,vrh
Košutnikov turn,vrh
Koželj,vrh
Kraguljše,vrh
Krajnikov grad,vrh
Kraljevska špica/Monte Re,vrh
Kranjska Rinka,vrh
Kranjska koča na Ledinah,koča
Kranjska koča na Ledinah,bivak
Kranjska reber,vrh
Krasji vrh,vrh
Kravja Črna gora,vrh
Kravji vrh / Kuhberg,vrh
Kreda,vrh
Kredarica,vrh
Kres nad Kočno,vrh
Kresišče,vrh
Krevl,vrh
Kriva jelka,bivak
Kriška planina,koča
Kriška planina,planina
Kriški rob,vrh
Križ,vrh
Križevnik,vrh
Krn,vrh
Krnes,vrh
Krničarjeva koča na planini Javornik,planina
Krnsko jezero,planina
Krnsko jezero,jezero
Krnčica,vrh
Krofička,vrh
Krsteniški Stog,vrh
Krvavec,vrh
Krvavka,vrh
Kržišče (Pokovše),vrh
Kser,vrh
Kukova špica,vrh
Kumlehova glava,vrh
Kunšperski vrh (Brezovec),vrh
Kup,vrh
Kurji vrh,vrh
Kušpergarjev turn (Kušpergarjevi turni),vrh
Lajnar,vrh
Lanež,vrh
Lanževica,vrh
Lastovec,vrh
Ledinski vrh,vrh
Lengarjeva glava,vrh
Lepenatka,vrh
Lešanska planina,koča
Lešanska planina,planina
Leški cerkvi,cerkev
Licjanovec,vrh
Lindeški slap,slap
Lipanski vrh,vrh
Lipenšči hrib,vrh
"Lipševa vrata (Vrata, Felsentore)",
Logarska peč,vrh
Logje,planina
Lokovnikov Grintovec / Grintoutz,vrh
Lomek (Lom),vrh
Lopa,vrh
Lopatnik,vrh
Lopič / Monte Plauris,
Lovska koča Bala,
Lovska koča Na Utrci,
Lovska koča Stanič,planina
Lovska koča na Brvogih,
Lovska koča na Glinu,vrh
Lovska koča nad Doslovško planino,
Lovska koča Črnevka,
Lovska koča Štepih,
Lovčev bivak Pri Koucah,
Luknja,sedlo
Lučka Brana (Baba),vrh
Lučki Dedec,vrh
Macesnovec,vrh
Macna / Matzen,vrh
Mahavšček,vrh
Mala Boka,
Mala Boncla (Bavha),vrh
Mala Golica,vrh
Mala Košuta,vrh
Mala Martuljška Ponca,vrh
Mala Mojstrovka,vrh
Mala Ojstrica,vrh
Mala Osojnica,vrh
Mala Peca,vrh
Mala Poljana,koča
Mala Poljana,planina
Mala Ponca,vrh
Mala Raduha,vrh
Mala Rinka,vrh
Mala Rodica,vrh
Mala Tičarica,vrh
Mala Zelnarica,vrh
Malga Cuarnan,koča
Mali Draški vrh,vrh
Mali Grintovec,vrh
Mali Javornik,vrh
Mali Kanin,vrh
Mali Karman / Monte Cuarnan,
Mali Ozebnik,vrh
Mali Raskovec,vrh
Mali Rogatec (Mali Rogac),vrh
Mali Travnik,vrh
Mali Triglav,vrh
Mali slap Kozjak,slap
Mali vrh,vrh
Mali vrh nad Završnico,vrh
Mali Šmohor,vrh
Malnež,vrh
Malo Kladivo,vrh
Malo Špičje,vrh
Maloško poldne / Mallestiger Mittagskogel,vrh
Mangart,vrh
Mangartska koča na Mangartskem sedlu,koča
Mangartska planina,planina
Marija Snežna (Kavalar) / Madonna della Neve,cerkev
Marija Snežna (Kavalar) / Madonna della Neve,planina
Marija Snežna v Breginjskem kotu,vrh
Marija Snežna v Breginjskem kotu,cerkev
Markljev Rovt,planina
Matajur,vrh
Matajur,cerkev
Matajurski vrh,vrh
Matkov kot,
Matkova kopa,vrh
Mačenski vrh / Matschacher Gupf,vrh
Medvedjak,vrh
Meja,vrh
Mejnik,vrh
Mesnovec,vrh
Mešenik,vrh
Mihov dom na Vršiču,koča
Mihčeva kopišča,planina
Mirca,vrh
Mišelj vrh,vrh
Mišeljski Konec,vrh
Mladinski izobraževalni center v Bavšici,planina
Mojstrovica,vrh
Mojčin dom na Vitrancu,koča
Mokrica,vrh
Mokrišče Blata,
Molička peč,vrh
Montaž / Jôf di Montasio,vrh
Morbegna,
Mornova zijalka,
Mozirska koča na Golteh,koča
Močnikova planina,planina
Možic,vrh
Mrežce,vrh
Mrzla gora,vrh
Mrzli vrh (na Matajurju),vrh
Mrzli vrh nad planino Pretovč,vrh
Murijeva planina,planina
Murnovc,vrh
Muzec (Musc),vrh
Na Križu (Kokrska Kočna),vrh
Na Možeh,vrh
Na Pečeh,vrh
Na pečeh pri Črnem Vrhu,vrh
Najvišji rob (Zeleniške špice),vrh
Nemške glave,vrh
Nizki vrh ,vrh
Novi grad (Pusti grad),vrh
Obel kamen (Olševa),vrh
Obirska planina,planina
Ogradi,vrh
Ojstra / Oistra,vrh
Ojstrc / Hochobir,vrh
Ojstri vrh (nad Prevalo),vrh
Ojstrica,vrh
Okrepčevalnica Slap Voje,koča
Okroglež,vrh
Orlove glave,vrh
Orlovo gnezdo (Slap Rinka),koča
Orlovo gnezdo (Slap Rinka),slap
Orožnova koča na planini za Liscem,koča
Orožnova koča na planini za Liscem,planina
Ostra peč / Mallestiger Mittagskogel,vrh
Ostrica,vrh
Ovča koča,planina
Ovčji vrh (Kozjak) / Geissberg (Kosiak),vrh
Ožarjeni kamen,
Palec,vrh
Partizanska bolnica Krtina,
Partizanska bolnica Mrzle vode,
Partizanska bolnica na Formili/Boču,
Partizanska bolnišnica na Mežakli,
Petelinjek (nad Korenskim sedlom),vrh
Peč (Tromeja),vrh
Peč (razgledišče),vrh
Pečovnik,vrh
Pečovnik (kota 1668),vrh
Pihavec,vrh
Pikov vrh,vrh
Plakopec (Brezejec),vrh
Planica,vrh
Planica (vzletišče Gozd),vrh
Planica pod Krnom,vrh
Planina Arta,planina
Planina Bala,planina
Planina Blatce,planina
Planina Blato,planina
Planina Dedno Polje,planina
Planina Dobrenjščica,planina
Planina Dol,planina
Planina Dolga njiva,planina
Planina Dolga njiva (Krvavec),planina
Planina Dolga trata,bivak
Planina Dolga trata,planina
Planina Dolžanka,planina
Planina Dovška Rožca,koča
Planina Dovška Rožca,planina
Planina Goričica,planina
Planina Gorjuda,bivak
Planina Gorjuda,planina
Planina Govnjač,planina
Planina Ilovec,planina
Planina Ilovica,planina
Planina Javorje,planina
Planina Javornik,planina
Planina Jezerca,planina
Planina Jezerce,planina
Planina Jezerce,jezero
Planina Kališče,planina
Planina Kladje / Quadiaalm,planina
